Domain,Core Conditionsÿ
Pre-operative Care,Medication considerations - Substance misuse disorder
Post-operative careÿ,Sepsis 
Post-operative careÿ,Acute kidney injury 
Post-operative careÿ,Fluid and electrolyte balanceÿ
Post-operative careÿ,Anaemiaÿ
Post-operative careÿ,Type 1 diabetes 
Post-operative careÿ,Type 2 diabetes 
Post-operative careÿ,Intestinal obstruction and ileusÿ
Post-operative careÿ,Surgical site infectionÿ
Post-operative careÿ,Pulmonary embolism and deep vein thrombosis 
Nutrition,Malnutritionÿ
Gastrointestinal Surgery,Appendicitisÿ
Gastrointestinal Surgery,Acute pancreatitisÿ
Gastrointestinal Surgery,Cholecystitisÿ
Gastrointestinal Surgery,Acute cholangitisÿ
Gastrointestinal Surgery,Gastrointestinal perforationÿ
Gastrointestinal Surgery,Peritonitisÿ
Gastrointestinal Surgery,Intestinal ischaemiaÿ
Gastrointestinal Surgery,Intestinal Obstruction and ileus
Gastrointestinal Surgery,Volvulusÿ
Gastrointestinal Surgery,Gallstones and biliary colicÿ
Gastrointestinal Surgery,Peptic ulcer disease and gastritis 
Gastrointestinal Surgery,Gastric cancer
Gastrointestinal Surgery,Gastro-oesophageal reflux disease and hiatus hernia 
Gastrointestinal Surgery,Oesophageal cancer 
Gastrointestinal Surgery,Hiatus Hernia
Gastrointestinal Surgery,Pancreatic Cancer
Gastrointestinal Surgery,Colorectal tumoursÿ
Gastrointestinal Surgery,Diverticular diseaseÿ
Gastrointestinal Surgery,Inflammatory bowel disease 
Gastrointestinal Surgery, Anal and Perianal Lesions - Anal Fissure 
Gastrointestinal Surgery,Anal and Perianal Lesions - Haemorrhoids 
Gastrointestinal Surgery,Anal and Perianal Lesions - Perianal abscesses and fistulae 
Gastrointestinal Surgery,Hernias
Urology,Testicular torsionÿ
Urology,Urinary tract calculi
Urology,Prostate cancerÿ
Urology,Bladder cancerÿ
Urology,Testicular cancerÿÿ
Urology,Urinary tract infectionÿÿ
Urology,Acute pyelonephritisÿ
Urology,Epididymitis and orchitisÿ
Urology,Urinary incontinence 
Urology,Erectile dysfunction 
Breastÿ,Breast cystsÿÿ
Breastÿ,Fibroadenoma 
Breastÿ,Breast abscess/mastitis 
Vascular,Aortic aneurysm
Vascular,Aortic dissection 
Vascular,Acute ischaemic limb 
Vascular,Peripheral vascular Disease
Vascular,Varicose veins
Vascular,Arterial ulcers 
Vascular,Venous ulcers 
Vascular,Gangrene and necrotising fasciitisÿ
Trauma and Orthopaedics,Compartment syndrome 
Trauma and Orthopaedics,Septic arthritis
Trauma and Orthopaedics,Osteomyelitis 
Trauma and Orthopaedics,Pathological fracture 
Trauma and Orthopaedics,Major trauma 
Trauma and Orthopaedics,Hip fracture
Trauma and Orthopaedics,Ankle fracture 
Trauma and Orthopaedics,Pubic ramus fracture
Trauma and Orthopaedics,Metatarsal stress fracture 
Trauma and Orthopaedics,Meniscus tears 
Trauma and Orthopaedics,Anterior cruciate ligament (ACL) tear 
Trauma and Orthopaedics,Medical collateral ligament (MCL) sprain 
Trauma and Orthopaedics,Achilles tendon rupture 
Trauma and Orthopaedics, Foot and ankle - Achilles? tendinitis
Trauma and Orthopaedics,Clavicle fractureÿ
Trauma and Orthopaedics,Humeral fractureÿ
Trauma and Orthopaedics,Olecranon fractureÿ
Trauma and Orthopaedics,Radial head fracture
Trauma and Orthopaedics,Distal radius fracture
Trauma and Orthopaedics,Scaphoid fracture
Trauma and Orthopaedics,Metacarpal/phalangeal fractures
Trauma and Orthopaedics,Upper limb soft tissue injury
Trauma and Orthopaedics,Shoulder dislocation
Trauma and Orthopaedics,Biceps tendon ruptureÿ
Trauma and Orthopaedics,Elbow dislocationÿ
Trauma and Orthopaedics, Shoulder - Adhesive capsulitis 
Trauma and Orthopaedics,Shoulder - Impingement syndrome/Subacromial bursitis
Trauma and Orthopaedics,Shoulder - Biceps tendinopathy
Trauma and Orthopaedics, Elbow - Olecranon bursitis 
Trauma and Orthopaedics,Elbow - Ulnar nerve entrapment (cubital tunnel syndrome) 
Trauma and Orthopaedics,Hand and wrist - Carpal Tunnel syndrome 
Trauma and Orthopaedics,Spinal fracture 
Trauma and Orthopaedics,Spinal cord injury 
Trauma and Orthopaedics,Degenerative disc disease
Trauma and Orthopaedics,Nerve root entrapment/sciatica 
Plastics,Complications of wound healing 
Plastics,Arterial ulcer 
Plastics,Venous ulcer 
Plastics,Burns
Plastics,Scarring and abnormal scarring 
ENT,Presbycusis 
ENT,Acoustic neuroma 
ENT,Benign paroxysmal positional vertigo 
ENT,M‚niŠre's disease 
ENT,Otitis media 
ENT,Otitis externa 
ENT,Tonsillitis and pharyngitis 
ENT,Laryngitis 
ENT,Infectious mononucleosis 
ENT,Rhinosinusitis and nasal polyps 
ENT,Epistaxis
ENT,Epiglottitis 
Opthalmolgy,Acute glaucoma 
Opthalmolgy,Conjunctivitis 
Opthalmolgy,Infective keratitis 
Opthalmolgy,Uveitis 
Opthalmolgy,Iritis 
Opthalmolgy,Scleritis
Opthalmolgy,Giant cell arteritis 
Opthalmolgy,Vitreous haemorrhage
Opthalmolgy,Retinal detachment 
Opthalmolgy,Central retinal artery occlusion 
Opthalmolgy,Central retinal vein occlusion 
Opthalmolgy,Optic neuritis 
Opthalmolgy,Chronic glaucoma 
Opthalmolgy,Cataract 
Opthalmolgy,Age-related macular degeneration 
